Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2001,Число мужчин на 1 января,Березовский район,8943,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Березовский район', 8943);"
1,01.01.2001,Число мужчин на 1 января,Большесосновский район,7620,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Большесосновский район', 7620);"
1,01.01.2001,Число мужчин на 1 января,Верещагинский район,21813,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Верещагинский район', 21813);"
1,01.01.2001,Число мужчин на 1 января,Горнозаводский район,16894,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Горнозаводский район', 16894);"
1,01.01.2001,Число мужчин на 1 января,Еловский район,6735,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Еловский район', 6735);"
1,01.01.2001,Число мужчин на 1 января,Ильинский район,11290,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Ильинский район', 11290);"
1,01.01.2001,Число мужчин на 1 января,Карагайский район,11958,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Карагайский район', 11958);"
1,01.01.2001,Число мужчин на 1 января,Кишертский район,7843,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кишертский район', 7843);"
1,01.01.2001,Число мужчин на 1 января,Красновишерский район,14088,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Красновишерский район', 14088);"
1,01.01.2001,Число мужчин на 1 января,Куединский район,15923,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Куединский район', 15923);"
1,01.01.2001,Число мужчин на 1 января,Кунгурский район,22880,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кунгурский район', 22880);"
1,01.01.2001,Число мужчин на 1 января,Нытвенский район,24422,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Нытвенский район', 24422);"
1,01.01.2001,Число мужчин на 1 января,Октябрьский район,18661,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Октябрьский район', 18661);"
1,01.01.2001,Число мужчин на 1 января,Ординский район,8517,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Ординский район', 8517);"
1,01.01.2001,Число мужчин на 1 января,Осинский район,18155,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Осинский район', 18155);"
1,01.01.2001,Число мужчин на 1 января,Оханский район,9177,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Оханский район', 9177);"
1,01.01.2001,Число мужчин на 1 января,Очерский район,12032,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Очерский район', 12032);"
1,01.01.2001,Число мужчин на 1 января,Пермский район,43206,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Пермский район', 43206);"
1,01.01.2001,Число мужчин на 1 января,Сивинский район,8955,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Сивинский район', 8955);"
1,01.01.2001,Число мужчин на 1 января,Соликамский район,7540,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Соликамский район', 7540);"
1,01.01.2001,Число мужчин на 1 января,Суксунский район,11415,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Суксунский район', 11415);"
1,01.01.2001,Число мужчин на 1 января,Уинский район,6885,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Уинский район', 6885);"
1,01.01.2001,Число мужчин на 1 января,Усольский район,6399,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Усольский район', 6399);"
1,01.01.2001,Число мужчин на 1 января,Частинский район,7269,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Частинский район', 7269);"
1,01.01.2001,Число мужчин на 1 января,Чердынский район,20036,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чердынский район', 20036);"
1,01.01.2001,Число мужчин на 1 января,Чернушинский район,26219,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чернушинский район', 26219);"
1,01.01.2001,Число мужчин на 1 января,Чусовской район,38197,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чусовской район', 38197);"
1,01.01.2001,Число мужчин на 1 января,г. Пермь,472075,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Пермь', 472075);"
1,01.01.2001,Число мужчин на 1 января,Александровский район,20595,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Александровский район', 20595);"
1,01.01.2001,Число мужчин на 1 января,г. Березники,92797,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Березники', 92797);"
1,01.01.2001,Число мужчин на 1 января,Гремячинский район,11416,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Гремячинский район', 11416);"
1,01.01.2001,Число мужчин на 1 января,Губахинский район,22086,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Губахинский район', 22086);"
1,01.01.2001,Число мужчин на 1 января,Добрянский район,31054,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Добрянский район', 31054);"
1,01.01.2001,Число мужчин на 1 января,Кизеловский район,23459,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кизеловский район', 23459);"
1,01.01.2001,Число мужчин на 1 января,Краснокамский район,35572,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Краснокамский район', 35572);"
