Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2000,Число женщин на 1 января,Гремячинский район,12383,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Гремячинский район', 12383);"
1,01.01.2000,Число женщин на 1 января,Губахинский район,26849,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Губахинский район', 26849);"
1,01.01.2000,Число женщин на 1 января,Добрянский район,33788,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Добрянский район', 33788);"
1,01.01.2000,Число женщин на 1 января,Кизеловский район,24701,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кизеловский район', 24701);"
1,01.01.2000,Число женщин на 1 января,Краснокамский район,40380,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Краснокамский район', 40380);"
1,01.01.2000,Число женщин на 1 января,г. Кунгур,41610,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Кунгур', 41610);"
1,01.01.2000,Число женщин на 1 января,Лысьвенский район,49527,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Лысьвенский район', 49527);"
1,01.01.2000,Число женщин на 1 января,г. Соликамск,53573,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Соликамск', 53573);"
1,01.01.2000,Число женщин на 1 января,Чайковский район,59281,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чайковский район', 59281);"
1,01.01.2001,Число женщин на 1 января,Пермский край,1548035,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Пермский край', 1548035);"
1,01.01.2001,Число женщин на 1 января,Бардымский район,15513,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Бардымский район', 15513);"
1,01.01.2001,Число женщин на 1 января,Березовский район,9902,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Березовский район', 9902);"
1,01.01.2001,Число женщин на 1 января,Большесосновский район,8863,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Большесосновский район', 8863);"
1,01.01.2001,Число женщин на 1 января,Верещагинский район,25468,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Верещагинский район', 25468);"
1,01.01.2001,Число женщин на 1 января,Горнозаводский район,17924,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Горнозаводский район', 17924);"
1,01.01.2001,Число женщин на 1 января,Еловский район,7416,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Еловский район', 7416);"
1,01.01.2001,Число женщин на 1 января,Ильинский район,12833,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ильинский район', 12833);"
1,01.01.2001,Число женщин на 1 января,Карагайский район,13912,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Карагайский район', 13912);"
1,01.01.2001,Число женщин на 1 января,Кишертский район,8851,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кишертский район', 8851);"
1,01.01.2001,Число женщин на 1 января,Красновишерский район,15571,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Красновишерский район', 15571);"
1,01.01.2001,Число женщин на 1 января,Куединский район,17810,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Куединский район', 17810);"
1,01.01.2001,Число женщин на 1 января,Кунгурский район,25271,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кунгурский район', 25271);"
