Численность населения по итогам Всероссийской переписи населения (человек, значение показателя за год);;;
;;;
;;;2010
    Приволжский федеральный округ;сельское население;женщины;4550127
    Приволжский федеральный округ;сельское население;мужчины;4167692
        Республика Башкортостан;все население;Всего;4072292
        Республика Башкортостан;все население;женщины;2168519
        Республика Башкортостан;все население;мужчины;1903773
        Республика Башкортостан;городское население;Всего;2461652
        Республика Башкортостан;городское население;женщины;1334849
        Республика Башкортостан;городское население;мужчины;1126803
        Республика Башкортостан;сельское население;Всего;1610640
        Республика Башкортостан;сельское население;женщины;833670
        Республика Башкортостан;сельское население;мужчины;776970
        Республика Марий Эл;все население;Всего;696459
        Республика Марий Эл;все население;женщины;372587
        Республика Марий Эл;все население;мужчины;323872
        Республика Марий Эл;городское население;Всего;439622
        Республика Марий Эл;городское население;женщины;240891
        Республика Марий Эл;городское население;мужчины;198731
        Республика Марий Эл;сельское население;Всего;256837
        Республика Марий Эл;сельское население;женщины;131696
        Республика Марий Эл;сельское население;мужчины;125141
        Республика Мордовия;все население;Всего;834755
        Республика Мордовия;все население;женщины;451092
        Республика Мордовия;все население;мужчины;383663
        Республика Мордовия;городское население;Всего;504336
        Республика Мордовия;городское население;женщины;277129
        Республика Мордовия;городское население;мужчины;227207
        Республика Мордовия;сельское население;Всего;330419
        Республика Мордовия;сельское население;женщины;173963
        Республика Мордовия;сельское население;мужчины;156456
        Республика Татарстан;все население;Всего;3786488
        Республика Татарстан;все население;женщины;2038045
        Республика Татарстан;все население;мужчины;1748443
        Республика Татарстан;городское население;Всего;2853661
        Республика Татарстан;городское население;женщины;1551540
        Республика Татарстан;городское население;мужчины;1302121
        Республика Татарстан;сельское население;Всего;932827
        Республика Татарстан;сельское население;женщины;486505
        Республика Татарстан;сельское население;мужчины;446322
        Удмуртская Республика;все население;Всего;1521420
        Удмуртская Республика;все население;женщины;821787
        Удмуртская Республика;все население;мужчины;699633
        Удмуртская Республика;городское население;Всего;1052153
        Удмуртская Республика;городское население;женщины;580185
        Удмуртская Республика;городское население;мужчины;471968
        Удмуртская Республика;сельское население;Всего;469267
        Удмуртская Республика;сельское население;женщины;241602
        Удмуртская Республика;сельское население;мужчины;227665
        Чувашская Республика;все население;Всего;1251619
        Чувашская Республика;все население;женщины;669813
        Чувашская Республика;все население;мужчины;581806
        Чувашская Республика;городское население;Всего;735890
        Чувашская Республика;городское население;женщины;404614
        Чувашская Республика;городское население;мужчины;331276
        Чувашская Республика;сельское население;Всего;515729
        Чувашская Республика;сельское население;женщины;265199
        Чувашская Республика;сельское население;мужчины;250530
        Пермский край;все население;Всего;2635276
        Пермский край;все население;женщины;1428239
        Пермский край;все население;мужчины;1207037
        Пермский край;городское население;Всего;1976070
        Пермский край;городское население;женщины;1088109
        Пермский край;городское население;мужчины;887961
        Пермский край;сельское население;Всего;659206
        Пермский край;сельское население;женщины;340130
        Пермский край;сельское население;мужчины;319076
        Кировская область;все население;Всего;1341312
        Кировская область;все население;женщины;725095
        Кировская область;все население;мужчины;616217
        Кировская область;городское население;Всего;993176
        Кировская область;городское население;женщины;544371
        Кировская область;городское население;мужчины;448805
        Кировская область;сельское население;Всего;348136
        Кировская область;сельское население;женщины;180724
        Кировская область;сельское население;мужчины;167412
        Нижегородская область;все население;Всего;3310597
        Нижегородская область;все население;женщины;1814292
        Нижегородская область;все население;мужчины;1496305
        Нижегородская область;городское население;Всего;2611497
        Нижегородская область;городское население;женщины;1444837
        Нижегородская область;городское население;мужчины;1166660
        Нижегородская область;сельское население;Всего;699100
        Нижегородская область;сельское население;женщины;369455
        Нижегородская область;сельское население;мужчины;329645
        Оренбургская область;все население;Всего;2033072
        Оренбургская область;все население;женщины;1087878
        Оренбургская область;все население;мужчины;945194
        Оренбургская область;городское население;Всего;1213937
        Оренбургская область;городское население;женщины;659002
        Оренбургская область;городское население;мужчины;554935
        Оренбургская область;сельское население;Всего;819135
        Оренбургская область;сельское население;женщины;428876
        Оренбургская область;сельское население;мужчины;390259
        Пензенская область;все население;Всего;1386186
        Пензенская область;все население;женщины;753637
        Пензенская область;все население;мужчины;632549
        Пензенская область;городское население;Всего;930102
        Пензенская область;городское население;женщины;510233
        Пензенская область;городское население;мужчины;419869
        Пензенская область;сельское население;Всего;456084
        Пензенская область;сельское население;женщины;243404
        Пензенская область;сельское население;мужчины;212680
        Самарская область;все население;Всего;3215532
        Самарская область;все население;женщины;1743821
        Самарская область;все население;мужчины;1471711
        Самарская область;городское население;Всего;2579589
        Самарская область;городское население;женщины;1409293
        Самарская область;городское население;мужчины;1170296
        Самарская область;сельское население;Всего;635943
        Самарская область;сельское население;женщины;334528
        Самарская область;сельское население;мужчины;301415
        Саратовская область;все население;Всего;2521892
        Саратовская область;все население;женщины;1369434
        Саратовская область;все население;мужчины;1152458
        Саратовская область;городское население;Всего;1879565
        Саратовская область;городское население;женщины;1031597
        Саратовская область;городское население;мужчины;847968
        Саратовская область;сельское население;Всего;642327
        Саратовская область;сельское население;женщины;337837
        Саратовская область;сельское население;мужчины;304490
        Ульяновская область;все население;Всего;1292799
        Ульяновская область;все население;женщины;700711
        Ульяновская область;все население;мужчины;592088
        Ульяновская область;городское население;Всего;950630
