Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2007;Число мужчин на 1 января;Березовский район;8513,00
1;01.01.2007;Число мужчин на 1 января;Большесосновский район;6767,00
1;01.01.2007;Число мужчин на 1 января;Верещагинский район;20071,00
1;01.01.2007;Число мужчин на 1 января;Горнозаводский район;13217,00
1;01.01.2007;Число мужчин на 1 января;Еловский район;5955,00
1;01.01.2007;Число мужчин на 1 января;Ильинский район;9453,00
1;01.01.2007;Число мужчин на 1 января;Карагайский район;11287,00
1;01.01.2007;Число мужчин на 1 января;Кишертский район;6934,00
1;01.01.2007;Число мужчин на 1 января;Красновишерский район;12544,00
1;01.01.2007;Число мужчин на 1 января;Куединский район;14603,00
1;01.01.2007;Число мужчин на 1 января;Кунгурский район;21927,00
1;01.01.2007;Число мужчин на 1 января;Нытвенский район;21033,00
1;01.01.2007;Число мужчин на 1 января;Октябрьский район;16603,00
1;01.01.2007;Число мужчин на 1 января;Ординский район;7660,00
1;01.01.2007;Число мужчин на 1 января;Осинский район;15061,00
1;01.01.2007;Число мужчин на 1 января;Оханский район;8090,00
1;01.01.2007;Число мужчин на 1 января;Очерский район;11398,00
1;01.01.2007;Число мужчин на 1 января;Пермский район;41471,00
1;01.01.2007;Число мужчин на 1 января;Сивинский район;7836,00
1;01.01.2007;Число мужчин на 1 января;Соликамский район;9583,00
1;01.01.2007;Число мужчин на 1 января;Суксунский район;9886,00
1;01.01.2007;Число мужчин на 1 января;Уинский район;6129,00
1;01.01.2007;Число мужчин на 1 января;Усольский район;6333,00
1;01.01.2007;Число мужчин на 1 января;Частинский район;6933,00
1;01.01.2007;Число мужчин на 1 января;Чердынский район;19579,00
1;01.01.2007;Число мужчин на 1 января;Чернушинский район;24576,00
1;01.01.2007;Число мужчин на 1 января;Чусовской район;33598,00
1;01.01.2007;Число мужчин на 1 января;г. Пермь;443666,00
1;01.01.2007;Число мужчин на 1 января;Александровский район;16127,00
1;01.01.2007;Число мужчин на 1 января;г. Березники;74377,00
1;01.01.2007;Число мужчин на 1 января;Гремячинский район;6761,00
1;01.01.2007;Число мужчин на 1 января;Губахинский район;19515,00
1;01.01.2007;Число мужчин на 1 января;Добрянский район;28223,00
1;01.01.2007;Число мужчин на 1 января;Кизеловский район;13911,00
1;01.01.2007;Число мужчин на 1 января;Краснокамский район;31230,00
1;01.01.2007;Число мужчин на 1 января;г. Кунгур;31805,00
1;01.01.2007;Число мужчин на 1 января;Лысьвенский район;37835,00
1;01.01.2007;Число мужчин на 1 января;г. Соликамск;45210,00
1;01.01.2007;Число мужчин на 1 января;Чайковский район;49990,00
1;01.01.2008;Число мужчин на 1 января;Пермский край;1227637,00
1;01.01.2008;Число мужчин на 1 января;Гайнский район;7859,00
1;01.01.2008;Число мужчин на 1 января;Косинский район;3771,00
1;01.01.2008;Число мужчин на 1 января;Кочевский район;6215,00
1;01.01.2008;Число мужчин на 1 января;Кудымкарский район;13355,00
1;01.01.2008;Число мужчин на 1 января;Юрлинский район;5395,00
1;01.01.2008;Число мужчин на 1 января;Юсьвинский район;10793,00
1;01.01.2008;Число мужчин на 1 января;г. Кудымкар;13561,00
1;01.01.2008;Число мужчин на 1 января;Бардымский район;12992,00
1;01.01.2008;Число мужчин на 1 января;Березовский район;8509,00
1;01.01.2008;Число мужчин на 1 января;Большесосновский район;6717,00
1;01.01.2008;Число мужчин на 1 января;Верещагинский район;20102,00
1;01.01.2008;Число мужчин на 1 января;Горнозаводский район;12989,00
1;01.01.2008;Число мужчин на 1 января;Еловский район;5888,00
1;01.01.2008;Число мужчин на 1 января;Ильинский район;9412,00
1;01.01.2008;Число мужчин на 1 января;Карагайский район;11161,00
1;01.01.2008;Число мужчин на 1 января;Кишертский район;6884,00
1;01.01.2008;Число мужчин на 1 января;Красновишерский район;12462,00
1;01.01.2008;Число мужчин на 1 января;Куединский район;14520,00
1;01.01.2008;Число мужчин на 1 января;Кунгурский район;22018,00
1;01.01.2008;Число мужчин на 1 января;Нытвенский район;20971,00
1;01.01.2008;Число мужчин на 1 января;Октябрьский район;16462,00
1;01.01.2008;Число мужчин на 1 января;Ординский район;7652,00
1;01.01.2008;Число мужчин на 1 января;Осинский район;15010,00
1;01.01.2008;Число мужчин на 1 января;Оханский район;8008,00
1;01.01.2008;Число мужчин на 1 января;Очерский район;11445,00
1;01.01.2008;Число мужчин на 1 января;Пермский район;41138,00
1;01.01.2008;Число мужчин на 1 января;Сивинский район;7845,00
1;01.01.2008;Число мужчин на 1 января;Соликамский район;9574,00
1;01.01.2008;Число мужчин на 1 января;Суксунский район;9854,00
1;01.01.2008;Число мужчин на 1 января;Уинский район;6009,00
1;01.01.2008;Число мужчин на 1 января;Усольский район;6208,00
1;01.01.2008;Число мужчин на 1 января;Частинский район;6917,00
1;01.01.2008;Число мужчин на 1 января;Чердынский район;19284,00
1;01.01.2008;Число мужчин на 1 января;Чернушинский район;24602,00
1;01.01.2008;Число мужчин на 1 января;Чусовской район;33263,00
1;01.01.2008;Число мужчин на 1 января;г. Пермь;442131,00
1;01.01.2008;Число мужчин на 1 января;Александровский район;15972,00
1;01.01.2008;Число мужчин на 1 января;г. Березники;73809,00
1;01.01.2008;Число мужчин на 1 января;Гремячинский район;6543,00
1;01.01.2008;Число мужчин на 1 января;Губахинский район;19058,00
1;01.01.2008;Число мужчин на 1 января;Добрянский район;28256,00
1;01.01.2008;Число мужчин на 1 января;Кизеловский район;13609,00
