1121,11/21/2002,AERO COMMANDER,1539,0,11.95,8511.79926
737-724,09/30/1999,BOEING,1220,0,153.66666666666669,103944.05192
737-724,10/22/1998,BOEING,1041,0,46.81666666666667,31712.0447
737-724,12/07/1998,BOEING,771,0,36.233333333333334,25038.11172
737-790,01/12/2000,BOEING,344,0,111.05,72671.35704
737-790,01/25/2000,BOEING,344,0,108.45,71198.81094
737-790,07/30/1999,BOEING,490,0,100.35,66467.35134
737-790,08/24/1999,BOEING,490,0,124.23333333333333,79971.32328
737-790,10/07/1999,BOEING,344,0,117.88333333333334,79383.91417999999
737-790,11/03/1999,BOEING,490,0,129.36666666666667,84144.3419
737-824,06/02/2000,BOEING,1422,0,55.083333333333336,40676.0685
737-824,06/07/1999,BOEING,1422,0,53.53333333333333,40682.50586
737-824,06/17/1999,BOEING,535,0,73.36666666666666,49308.56826
737-824,06/22/1999,BOEING,151,0,34.35,24058.02366
737-824,06/24/1998,BOEING,749,0,57.416666666666664,41551.54946
737-824,07/02/1998,BOEING,1422,0,63.483333333333334,45613.52362
737-824,07/16/1998,BOEING,749,0,71.25,48970.60686
737-824,07/27/1998,BOEING,1422,0,41.8,31546.28268
737-824,07/27/1999,BOEING,1422,0,48.63333333333333,35439.27614
737-824,07/31/1998,BOEING,749,0,47.78333333333333,33231.26166
737-824,08/03/1998,BOEING,1422,0,64.88333333333334,45286.8276
737-824,08/05/1998,BOEING,2171,0,125.5,87789.497
737-824,08/06/1999,BOEING,1422,0,49.31666666666667,36768.59098
737-824,08/17/1998,BOEING,159,0,37.2,25820.25096
737-824,08/28/1998,BOEING,159,0,33.68333333333333,23238.869599999998
737-824,09/22/1999,BOEING,749,0,57.88333333333333,40676.0685
737-824,10/12/1999,BOEING,159,0,35.95,25155.59354
737-824,10/18/1999,BOEING,749,0,66.75,48587.58394
737-824,10/20/1999,BOEING,749,0,42.15,30382.72986
737-824,10/26/1999,BOEING,159,0,27.533333333333335,19981.56544
737-824,10/27/1999,BOEING,159,0,53.583333333333336,41047.82604
737-824,11/03/1999,BOEING,749,0,51.6,37998.12674
737-824,11/06/1998,BOEING,1422,0,71.75,52802.4454
737-824,11/08/1999,BOEING,1422,0,65.8,45227.28202
737-824,12/02/1998,BOEING,741,0,37.7,25855.65644
737-824,12/03/1999,BOEING,535,0,77.16666666666667,52829.80418
737-824,12/07/1999,BOEING,1422,0,36.766666666666666,25483.8989
737-824,12/09/1998,BOEING,535,0,77.4,54770.66822
737-824,12/18/1998,BOEING,749,0,32.61666666666667,22709.39674
737-824,12/21/1998,BOEING,741,0,46.78333333333333,36525.58064
737-824,12/22/1998,BOEING,159,0,57.25,42880.8643
737-824,12/23/1998,BOEING,1422,0,74.26666666666667,52313.20604
737-832,01/18/2000,BOEING,1931,1,0.0,0.0
737-832,01/19/1999,BOEING,1931,0,70.25,49382.5979
737-832,05/11/1999,BOEING,1931,2,0.0,0.0
737-832,08/16/1999,BOEING,1931,1,0.0,0.0
737-832,08/23/1999,BOEING,1931,1,0.0,0.0
737-832,09/23/1999,BOEING,1931,1,0.0,0.0
737-832,10/14/1999,BOEING,1931,0,93.51666666666667,63282.46748
737-832,10/20/1999,BOEING,1931,3,0.0,0.0
737-832,10/23/1998,BOEING,1931,2,0.0,0.0
737-832,10/27/1998,BOEING,1931,1,0.0,0.0
737-832,10/28/1998,BOEING,1931,1,0.0,0.0
737-832,11/05/1998,BOEING,1639,0,80.0,54199.35252
737-832,11/24/1999,BOEING,1931,4,0.0,0.0
737-832,12/01/1998,BOEING,1931,1,0.0,0.0
737-832,12/21/1999,BOEING,1931,1,0.0,0.0
747-451,10/15/2007,BOEING,145,0,11.966666666666667,7497.91506
757-222,01/02/1998,BOEING,46,0,31.966666666666665,23396.58492
757-222,01/11/2005,BOEING,898,0,45.61666666666667,35004.75434
757-222,01/12/1999,BOEING,1578,0,65.31666666666666,50301.53104
757-222,01/13/2005,BOEING,559,0,77.33333333333333,53851.73508
757-222,01/23/1991,BOEING,559,0,70.75,49332.70836
757-222,01/28/1999,BOEING,46,0,32.6,23803.74794
757-222,02/06/1998,BOEING,898,0,43.85,33414.72642
757-222,02/16/1990,BOEING,1662,0,61.7,43382.97838
757-222,02/18/1993,BOEING,1748,0,64.1,47679.91618
757-222,02/20/1991,BOEING,559,0,58.233333333333334,40571.4614
757-222,02/22/2006,BOEING,46,0,20.783333333333335,15150.32676
757-222,02/23/2006,BOEING,4057,0,174.28333333333333,122539.97561999998
757-222,02/24/2006,BOEING,2647,0,141.81666666666666,103691.38554
757-222,02/27/2006,BOEING,2455,0,123.94999999999999,88788.89714
757-222,02/28/1990,BOEING,1578,0,57.55,39993.70834
757-222,02/28/2006,BOEING,1436,0,144.86666666666667,103221.45826
757-222,03/18/1998,BOEING,46,0,51.45,37325.42262
757-222,03/22/1991,BOEING,1662,0,68.76666666666667,48536.08506
757-222,03/23/1990,BOEING,137,0,58.7,40859.53326
757-222,03/29/1991,BOEING,559,0,55.38333333333333,39839.2117
757-222,03/31/1992,BOEING,5320,0,187.26666666666665,134820.84915999998
757-222,04/12/1993,BOEING,877,0,40.15,29280.33196
757-222,04/21/1993,BOEING,877,0,66.85,49838.04112
