737-3TO,09/26/1985,BOEING,1863,0,909.0,10362.54026
737-3TO,03/28/2001,BOEING,1683,0,2009.0,23316.11792
737-33A,07/06/2006,BOEING,2458,2,8173.0,87018.62314
737-524,04/07/1994,BOEING,621,0,990.0,11064.2125
737-524,09/27/1994,BOEING,1685,0,1558.0,17387.30936
737-524,07/12/1995,BOEING,765,0,1005.0,10843.73292
737-524,09/18/1997,BOEING,251,0,1809.0,21143.50892
737-524,12/02/1997,BOEING,1847,0,1728.0,20551.2718
737-524,11/25/1997,BOEING,621,0,445.0,5236.79236
737-524,12/05/1997,BOEING,621,0,877.0,8872.29142
737-524,12/22/1997,BOEING,251,0,1639.0,18529.94076
737-524,12/24/1997,BOEING,1897,0,909.0,10130.7953
737-33A,07/06/2006,BOEING,2294,2,8234.0,88306.09514
737-724,03/30/1998,BOEING,1863,0,3293.0,38662.78416
737-724,04/08/1998,BOEING,1847,0,3174.0,38128.48328
737-724,09/01/1998,BOEING,741,0,3137.0,36234.2901
737-724,09/25/1998,BOEING,771,0,3492.0,41042.99802
737-724,08/25/1999,BOEING,1041,0,4518.0,51548.76954
737-33A,07/06/2006,BOEING,2294,3,9072.0,96861.34658
767-332,06/19/1998,BOEING,127,0,804.0,8754.8096
757-224,08/01/1994,BOEING,1669,0,1109.0,12638.14702
757-224,08/19/1994,BOEING,1507,0,1229.0,14389.10894
757-224,08/14/1997,BOEING,1507,0,1173.0,13381.6621
757-224,02/20/1998,BOEING,1669,0,1580.0,18027.82668
757-224,03/20/1998,BOEING,157,0,717.0,8255.9142
757-224,12/23/1998,BOEING,157,0,656.0,8255.9142
767-332,06/12/1990,BOEING,1982,0,2202.0,26106.71348
767-332,09/14/1998,BOEING,2159,1,5605.0,68033.23916
737-824,06/07/1999,BOEING,1422,0,3212.0,40682.50586
737-824,07/27/1999,BOEING,1422,0,2918.0,35439.27614
737-824,11/03/1999,BOEING,749,0,3096.0,37998.12674
737-824,11/08/1999,BOEING,1422,0,3948.0,45227.28202
767-332,06/25/1990,BOEING,1982,0,1778.0,20538.39708
767-332,09/25/1998,BOEING,229,0,3400.0,40722.73936
737-3TO,02/17/2004,BOEING,1711,0,1679.0,18423.72432
737-3TO,06/13/2008,BOEING,1828,0,771.0,8852.97934
737-3TO,08/08/1986,BOEING,1828,0,616.0,6801.07084
737-3TO,07/16/2004,BOEING,1043,0,131.0,1351.8456
