Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17687,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;32589,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;15763,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Осинский район;22813,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7709,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18445,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8409,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7346,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12860,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;35841,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;63317,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;993319,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Александровский район;29785,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;г. Березники;168279,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;15514,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;40296,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;49118,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;32167,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57207,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;67953,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;69689,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;99318,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;84105,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2028339,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;31173,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22631,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;26941,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10465,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17532,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;32354,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;15864,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Осинский район;22623,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7664,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18391,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8352,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7167,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12778,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;35902,00
